,SiOs postliste 13.11. 19.11.2017,,
Sist endret dato,Dok # Tittel,Applikasjon,Saksbehandler
17.11.2017,50593 Høring Endringer i Universitets og høyskoleloven og Fagskoleloven; NOKU,MS OUTLOOK,Torgunn Kveberg
,"Ts oppgaver og behandlingsansvar, Kunnskapsdepartementet 17.11.17",,
15.11.2017,50564 Innvilgelse av tilskudd til Studentenes helse og trivslesundersøkelse SHot 20,MS OUTLOOK,Torgunn Kveberg
,"18 over statsbudsjettet 2017 kap. 714, post 70, Helsedirektoratet 7.11.17",,
15.11.2017,"50562 Vedr søknad om tilskudd til studentboligbygging 2018, Kunnskapsdepartementet 14.11.17",ACROBAT,Helge Christian Haugen
